event_id,label,detected,max_crit,accuracy,false_alarm,fp,tn,n_channels,pct_normal_status,coverage_f05,weighted_score,lead_days,tp,fn
1,normal,False,26785.0,0.0,True,26785,0,10,100.0,,,,,
4,anomaly,True,28225.0,,,28225,0,10,100.0,0.0,0.0,,0.0,0.0
5,anomaly,True,26394.0,,,26394,4,10,100.0,0.0,0.0,,0.0,0.0
6,normal,False,27430.0,0.00010935734334560565,True,27430,3,10,100.0,,,,,
8,normal,False,27398.0,0.00010948505528995293,True,27398,3,10,100.0,,,,,
9,anomaly,True,28015.0,,,28015,0,10,100.0,0.0,0.0,,0.0,0.0
11,anomaly,True,28213.0,,,28213,6,10,100.0,0.0,0.0,,0.0,0.0
12,anomaly,True,28050.0,,,28050,4,10,100.0,0.0,0.0,,0.0,0.0
15,anomaly,True,27212.0,,,27212,5,10,100.0,0.0,0.0,,0.0,0.0
16,anomaly,True,26780.0,,,26780,4,10,100.0,0.0,0.0,,0.0,0.0
18,anomaly,True,26420.0,,,26420,4,10,100.0,0.0,0.0,,0.0,0.0
20,normal,False,26998.0,0.0001111069960371838,True,26998,3,10,100.0,,,,,
28,anomaly,True,27959.0,,,27959,0,10,100.0,0.0,0.0,,0.0,0.0
29,normal,False,27433.0,0.0,True,27433,0,10,100.0,,,,,
30,anomaly,True,28053.0,,,28053,3,10,100.0,0.0,0.0,,0.0,0.0
31,anomaly,True,27292.0,,,27292,3,10,100.0,0.0,0.0,,0.0,0.0
32,normal,False,27501.0,0.00014542810398109434,True,27501,4,10,100.0,,,,,
33,anomaly,True,27934.0,,,27934,3,10,100.0,0.0,0.0,,0.0,0.0
35,anomaly,True,26305.0,,,26305,3,10,100.0,0.0,0.0,,0.0,0.0
36,normal,False,27720.0,0.00014427932477276007,True,27720,4,10,100.0,,,,,
37,normal,False,26854.0,0.00011170272182298842,True,26854,3,10,100.0,,,,,
39,anomaly,True,26864.0,,,26864,0,10,100.0,0.0,0.0,,0.0,0.0
41,normal,False,27832.0,3.592857399489814e-05,True,27832,1,10,100.0,,,,,
43,normal,False,27573.0,0.00014504840990680639,True,27573,4,10,100.0,,,,,
44,anomaly,True,31494.0,,,31494,8,10,100.0,0.0,0.0,,0.0,0.0
46,normal,False,27563.0,0.00014510102658976313,True,27563,4,10,100.0,,,,,
47,anomaly,True,26993.0,,,26993,4,10,100.0,0.0,0.0,,0.0,0.0
48,normal,False,27649.0,0.0,True,27649,0,10,100.0,,,,,
49,anomaly,True,26504.0,,,26504,3,10,100.0,0.0,0.0,,0.0,0.0
50,normal,False,27573.0,0.00014504840990680639,True,27573,4,10,100.0,,,,,
54,normal,False,27791.0,7.196056561004569e-05,True,27791,2,10,100.0,,,,,
55,anomaly,True,27875.0,,,27875,2,10,100.0,0.0,0.0,,0.0,0.0
56,normal,False,26706.0,7.48839299086416e-05,True,26706,2,10,100.0,,,,,
57,normal,False,27502.0,0.00010907107798582076,True,27502,3,10,100.0,,,,,
58,normal,False,27213.0,0.00014696696917367822,True,27213,4,10,100.0,,,,,
59,normal,False,27431.0,7.29048955637371e-05,True,27431,2,10,100.0,,,,,
60,normal,False,27212.0,0.00018370871146709776,True,27212,5,10,100.0,,,,,
61,normal,False,27793.0,0.0,True,27793,0,10,100.0,,,,,
62,normal,False,26724.0,0.0,True,26724,0,10,100.0,,,,,
63,normal,False,27430.0,0.00010935734334560565,True,27430,3,10,100.0,,,,,
64,normal,False,27212.0,0.00018370871146709776,True,27212,5,10,100.0,,,,,
65,normal,False,27959.0,0.0,True,27959,0,10,100.0,,,,,
66,anomaly,True,26752.0,,,26752,0,10,100.0,0.0,0.0,,0.0,0.0
67,anomaly,True,30741.0,,,30741,4,10,100.0,0.0,0.0,,0.0,0.0
70,anomaly,True,28016.0,,,28016,3,10,100.0,0.0,0.0,,0.0,0.0
75,normal,False,28081.0,0.0,True,28081,0,10,100.0,,,,,
76,anomaly,True,26040.0,,,26040,3,10,100.0,0.0,0.0,,0.0,0.0
78,anomaly,True,26570.0,,,26570,3,10,100.0,0.0,0.0,,0.0,0.0
79,anomaly,True,26638.0,,,26638,3,10,100.0,0.0,0.0,,0.0,0.0
80,normal,False,27452.0,0.00018210292457296865,True,27452,5,10,100.0,,,,,
81,anomaly,True,26966.0,,,26966,0,10,100.0,0.0,0.0,,0.0,0.0
85,normal,False,26209.0,0.0,True,26209,0,10,100.0,,,,,
88,normal,False,27718.0,0.00010822120414126474,True,27718,3,10,100.0,,,,,
89,normal,False,27287.0,7.328960386969109e-05,True,27287,2,10,100.0,,,,,
90,anomaly,True,27435.0,,,27435,5,10,100.0,0.0,0.0,,0.0,0.0
91,anomaly,True,28300.0,,,28300,4,10,100.0,0.0,0.0,,0.0,0.0
93,normal,False,27933.0,0.00014317929627375881,True,27933,4,10,100.0,,,,,
94,normal,False,27430.0,0.00010935734334560565,True,27430,3,10,100.0,,,,,
