eid,label,crit,acc,fa,fp,n_ch,alarm_pct,detected,cov,ws,lead,tp,fn
1,normal,358.0,0.9835045846196379,True,358,16,1.6495415380362162,,,,,,
4,anomaly,37.0,,,37,8,0.1476456504389465,False,0.0,0.0,,0.0,0.0
5,anomaly,0.0,,,0,8,0.0,False,0.0,0.0,,0.0,0.0
6,normal,0.0,1.0,False,0,6,0.0,,,,,,
8,normal,0.0,1.0,False,0,3,0.0,,,,,,
9,anomaly,0.0,,,0,5,0.0,False,0.0,0.0,,0.0,0.0
11,anomaly,446.0,,,743,18,3.823983530622748,True,0.0,0.0,,0.0,0.0
12,anomaly,674.0,,,674,17,2.588027492992359,True,0.0,0.0,,0.0,0.0
15,anomaly,0.0,,,0,10,0.0,False,0.0,0.0,,0.0,0.0
16,anomaly,0.0,,,0,9,0.0,False,0.0,0.0,,0.0,0.0
18,anomaly,119.0,,,119,14,0.5131300935707818,True,0.0,0.0,,0.0,0.0
20,normal,231.0,0.9907514913720623,True,231,16,0.9248508627937703,,,,,,
28,anomaly,0.0,,,0,11,0.0,False,0.0,0.0,,0.0,0.0
29,normal,215.0,0.9908013519873358,True,215,11,0.9198648012664186,,,,,,
30,anomaly,8.0,,,8,9,0.03287175905000616,False,0.0,0.0,,0.0,0.0
31,anomaly,0.0,,,0,12,0.0,False,0.0,0.0,,0.0,0.0
32,normal,0.0,1.0,False,0,10,0.0,,,,,,
33,anomaly,0.0,,,0,12,0.0,False,0.0,0.0,,0.0,0.0
35,anomaly,227.0,,,227,15,1.0256178556905977,True,0.0,0.0,,0.0,0.0
36,normal,777.0,0.9265742012673372,True,1657,17,7.342579873266273,,,,,,
37,normal,0.0,1.0,False,0,13,0.0,,,,,,
39,anomaly,101.0,,,101,11,0.4771127592233927,True,0.0,0.0,,0.0,0.0
41,normal,0.0,1.0,False,0,7,0.0,,,,,,
43,normal,6.0,0.9997127262280954,False,6,8,0.028727377190462512,,,,,,
44,anomaly,0.0,,,0,9,0.0,False,0.0,0.0,,0.0,0.0
46,normal,0.0,1.0,False,0,6,0.0,,,,,,
47,anomaly,0.0,,,0,7,0.0,False,0.0,0.0,,0.0,0.0
48,normal,0.0,1.0,False,0,14,0.0,,,,,,
49,anomaly,0.0,,,0,8,0.0,False,0.0,0.0,,0.0,0.0
50,normal,0.0,1.0,False,0,10,0.0,,,,,,
54,normal,0.0,1.0,False,0,7,0.0,,,,,,
55,anomaly,0.0,,,0,8,0.0,False,0.0,0.0,,0.0,0.0
56,normal,155.0,0.9936365875687659,True,155,13,0.6363412431234091,,,,,,
57,normal,107.0,0.9958709577834375,True,107,11,0.41290422165624757,,,,,,
58,normal,0.0,1.0,False,0,9,0.0,,,,,,
59,normal,0.0,1.0,False,0,7,0.0,,,,,,
60,normal,0.0,1.0,False,0,1,0.0,,,,,,
61,normal,0.0,1.0,False,0,6,0.0,,,,,,
62,normal,0.0,1.0,False,0,9,0.0,,,,,,
63,normal,0.0,1.0,False,0,8,0.0,,,,,,
64,normal,0.0,1.0,False,0,9,0.0,,,,,,
65,normal,1192.0,0.934596600898613,True,1674,10,6.540339910138698,,,,,,
66,anomaly,0.0,,,0,10,0.0,False,0.0,0.0,,0.0,0.0
67,anomaly,0.0,,,0,12,0.0,False,0.0,0.0,,0.0,0.0
70,anomaly,0.0,,,0,12,0.0,False,0.0,0.0,,0.0,0.0
75,normal,0.0,1.0,False,0,7,0.0,,,,,,
76,anomaly,113.0,,,113,10,0.5805888095360427,True,0.0,0.0,,0.0,0.0
78,anomaly,0.0,,,0,10,0.0,False,0.0,0.0,,0.0,0.0
79,anomaly,0.0,,,0,2,0.0,False,0.0,0.0,,0.0,0.0
80,normal,0.0,1.0,False,0,7,0.0,,,,,,
81,anomaly,0.0,,,0,10,0.0,False,0.0,0.0,,0.0,0.0
85,normal,0.0,1.0,False,0,5,0.0,,,,,,
88,normal,0.0,1.0,False,0,9,0.0,,,,,,
89,normal,0.0,1.0,False,0,4,0.0,,,,,,
90,anomaly,0.0,,,0,8,0.0,False,0.0,0.0,,0.0,0.0
91,anomaly,0.0,,,0,10,0.0,False,0.0,0.0,,0.0,0.0
93,normal,0.0,1.0,False,0,9,0.0,,,,,,
94,normal,0.0,1.0,False,0,7,0.0,,,,,,
