eid,l,mc,acc,fa,fp,nch,ap,det,cov,ws,ld,tp,fn
1,n,11121.0,0.3577846380684698,True,13938,22,64.22153619315301,,,,,,
4,a,6758.0,,,9289,17,41.49241819632881,True,0.12548939733405753,0.3690741016286563,171.47916666666666,1109.0,1486.0
5,a,1282.0,,,6537,14,29.44036816741197,True,0.04457760888629056,1.0,161.97916666666666,244.0,0.0
6,n,8494.0,0.4165766514333195,True,14043,18,58.34233485666805,,,,,,
8,n,3609.0,0.8087129500696241,True,4808,13,19.128704993037594,,,,,,
9,a,1673.0,,,3073,12,20.07490052274323,True,0.4416276097145292,0.7400754258987647,144.16666666666666,2073.0,813.0
11,a,13201.0,,,13658,20,80.18528049408131,True,0.14917495847627327,0.9262632145498951,163.03472222222223,1922.0,179.0
12,a,5179.0,,,3998,20,26.67511423415121,True,0.47971500146403356,1.0,96.45833333333333,2949.0,0.0
15,a,644.0,,,3300,17,13.832418158192564,True,0.0,0.0,156.09027777777777,0.0,2425.0
16,a,1270.0,,,7325,20,37.33966513267404,True,0.049010061668289515,1.0,156.06944444444446,302.0,0.0
18,a,4753.0,,,7261,19,32.49536458108749,True,0.04479410998175658,0.3964160300007402,148.86805555555554,275.0,277.0
20,n,2948.0,0.7041678344076551,True,7389,19,29.583216559234494,,,,,,
28,a,11650.0,,,13121,20,64.3575047761442,True,0.18451187868052643,1.0,170.875,2375.0,0.0
29,n,1697.0,0.6504941599281222,True,8169,19,34.95058400718778,,,,,,
30,a,17763.0,,,20388,18,85.42137486132226,True,0.023986696655022254,0.9256396770812262,167.3125,401.0,31.0
31,a,11045.0,,,16907,19,71.375,True,0.016219833292117014,1.0,172.41666666666666,223.0,0.0
32,n,8562.0,0.3926501418177334,True,14775,18,60.73498581822666,,,,,,
33,a,2626.0,,,4993,20,27.055445464472033,True,0.2968651598908404,0.9197544614735567,142.97916666666666,1697.0,125.0
35,a,9508.0,,,12045,22,57.782496724348256,True,0.07148072710503055,0.7853648405409146,164.79166666666666,744.0,142.0
36,n,18167.0,0.18039615367572118,True,18496,20,81.96038463242789,,,,,,
37,n,542.0,0.9192408732675061,True,1783,18,8.07591267324939,,,,,,
39,a,16315.0,,,16339,19,78.32207473191932,True,0.018103694355553552,1.0,179.95833333333334,241.0,0.0
41,n,741.0,0.90378125479368,True,2509,12,9.621874520631998,,,,,,
43,n,11827.0,0.22330747869386192,True,16222,16,77.66925213061381,,,,,,
44,a,6543.0,,,6269,16,36.547274906578295,True,0.4077206248134514,0.4188776311963664,118.98611111111111,4098.0,4689.0
46,n,4308.0,0.5836893203883495,True,10720,17,41.631067961165044,,,,,,
47,a,6936.0,,,12921,19,53.205128205128204,True,0.06265982335551969,1.0,157.11111111111111,691.0,0.0
48,n,16266.0,0.02633143128863528,True,16381,22,97.36685687113648,,,,,,
49,a,991.0,,,4737,16,21.808662930999223,True,0.13570223053414224,1.0,166.88194444444446,595.0,0.0
50,n,20309.0,0.14609880228064134,True,22315,20,85.39011977193587,,,,,,
54,n,3250.0,0.6789069520464014,True,7861,17,32.109304795359854,,,,,,
55,a,19250.0,,,19100,18,82.60576503707227,True,0.10115977877861526,0.8201774302317499,165.38194444444446,1734.0,636.0
56,n,1358.0,0.8743739223253141,True,3060,19,12.562607767468595,,,,,,
57,n,17091.0,0.20440688430963957,True,20617,19,79.55931156903604,,,,,,
58,n,8301.0,0.48753766091481787,True,13097,17,51.246233908518214,,,,,,
59,n,1206.0,0.8114143920595533,True,4484,15,18.858560794044664,,,,,,
60,n,605.0,0.9290229996509328,True,1830,12,7.097700034906722,,,,,,
61,n,4320.0,0.5792975970425138,True,11380,14,42.07024029574861,,,,,,
62,n,18268.0,0.20489431809049263,True,19787,19,79.51056819095074,,,,,,
63,n,790.0,0.8452453181248231,True,3826,17,15.475468187517697,,,,,,
64,n,9265.0,0.45439893073354826,True,13879,21,54.56010692664518,,,,,,
65,n,24544.0,0.022738816175034187,True,25013,18,97.72611838249658,,,,,,
66,a,6296.0,,,14596,16,62.44165322922854,True,0.01007996205190757,0.7083333333333334,172.73611111111111,119.0,49.0
67,a,14576.0,,,10321,20,66.99036214953271,True,0.492383358681254,0.9861457453756606,151.61805555555554,8029.0,103.0
70,a,20095.0,,,19169,18,89.48818088386433,True,0.1448637199710161,0.983805151998339,169.93055555555554,2599.0,34.0
75,n,3442.0,0.5681143485431556,True,11784,18,43.18856514568444,,,,,,
76,a,1423.0,,,6533,20,34.54760314442789,True,0.03525676523793702,1.0,171.92361111111111,191.0,0.0
78,a,6709.0,,,12890,17,54.52093447860907,True,0.023577312754474007,1.0,171.94444444444446,249.0,0.0
79,a,497.0,,,4003,16,16.999755281833757,True,0.04898758981058132,0.9759076600209864,166.13194444444446,165.0,4.0
80,n,13637.0,0.38538398018166803,True,14886,17,61.46160198183319,,,,,,
81,a,16684.0,,,19720,19,84.31546863093726,True,0.012333312464784323,1.0,178.24305555555554,197.0,0.0
85,n,2680.0,0.6022427440633246,True,9648,10,39.775725593667545,,,,,,
88,n,3581.0,0.6865479817212491,True,6585,18,31.345201827875098,,,,,,
89,n,7079.0,0.5892702407414384,True,10902,16,41.072975925856156,,,,,,
90,a,1278.0,,,5097,18,25.696186911274733,True,0.2173584335072201,0.7103513740198538,174.32638888888889,1150.0,316.0
91,a,13380.0,,,13219,18,62.232403503081414,True,0.16677628488208213,0.9129485576769215,141.48611111111111,2130.0,332.0
93,n,1227.0,0.7832739386427022,True,5595,17,21.67260613572978,,,,,,
94,n,1065.0,0.8363541583126153,True,4081,17,16.36458416873847,,,,,,
