event_id,type,lead_days,first_ch,channels,n_ch,max_crit,abnormal_pct
11,TP,54.5,ensemble,"gearbox,transformer,hydraulic,pitch,hpg,rotor_bearing,ensemble,drift_24v,drift_freq,drift_hvrp,drift_abb",11,62.0,
12,TP,42.0,hpg,"transformer,hydraulic,generator,pitch,hpg,rotor_bearing,ensemble,drift_24v,drift_filter,drift_freq,drift_abb",11,3.0,
15,TP,53.5,gearbox,"gearbox,hydraulic,generator,pitch,zero_power,drift_batt",6,14.0,
16,TP,59.0,drift_batt,"gearbox,transformer,hydraulic,generator,pitch,rotor_bearing,cabinet_temp,drift_24v,drift_freq,drift_abb,drift_batt",11,6.0,
18,TP,56.0,drift_hvrp,"generator,pitch,ensemble,drift_hvrp",4,35.0,
1,FP_unlogged,56.5,hpg,"hpg,ensemble",2,3.0,100.0
20,FP_unlogged,38.5,rotor_bearing,"rotor_bearing,ensemble,drift_24v,drift_freq,drift_hvrp,drift_abb",6,8.0,55.1
28,TP,17.5,rotor_bearing,rotor_bearing,1,37.0,
29,FP_unlogged,21.0,hydraulic,"hydraulic,hpg,ensemble",3,4.0,100.0
30,TP,54.0,drift_batt,"gearbox,transformer,hydraulic,generator,pitch,hpg,drift_24v,drift_freq,drift_abb,drift_batt",10,76.0,
31,FN,0.0,none,none,0,0.0,
32,FP_unlogged,30.0,drift_freq,"generator,pitch,drift_filter,drift_freq,drift_abb",5,10.0,48.4
33,TP,9.0,generator,generator,1,4.0,
35,TP,41.0,ensemble,ensemble,1,24.0,
36,FP_unlogged,59.0,gearbox,gearbox,1,3.0,100.0
37,FP_unlogged,37.5,hydraulic,"hydraulic,ensemble,drift_filter",3,5.0,100.0
39,TP,39.5,drift_freq,"generator,pitch,ensemble,drift_filter,drift_freq,drift_abb",6,10.0,
41,FP_unlogged,58.0,drift_freq,"drift_freq,drift_abb",2,6.0,39.1
43,FP_unlogged,59.5,hpg,hpg,1,4.0,97.5
44,TP,28.0,drift_abb,"gearbox,pitch,drift_freq,drift_hvrp,drift_abb",5,13.0,
46,FP_unlogged,55.0,drift_batt,drift_batt,1,6.0,22.7
47,TP,45.5,drift_filter,"pitch,drift_24v,drift_filter,drift_freq,drift_abb",5,10.0,
48,FP_unlogged,48.5,generator,generator,1,3.0,100.0
49,TP,2.5,drift_pump,drift_pump,1,7.0,
4,TP,4.5,kci,kci,1,4.0,
50,FP_genuine,8.0,drift_filter,drift_filter,1,11.0,3.5
55,TP,41.0,generator,"gearbox,transformer,hydraulic,generator,pitch,battery_current",6,15.0,
56,FP_genuine,14.5,drift_hvrp,drift_hvrp,1,21.0,1.4
57,FP_genuine,49.0,cabinet_temp,"cabinet_temp,ensemble",2,3.0,0.0
59,FP_unlogged,40.5,generator,"hydraulic,generator,pitch,cabinet_temp,ensemble",5,18.0,38.7
5,TP,49.5,drift_abb,"hydraulic,generator,pitch,cabinet_temp,drift_abb",5,5.0,
61,FP_unlogged,48.5,drift_batt,"zero_power,drift_batt",2,6.0,22.9
63,FP_genuine,54.5,ensemble,"hpg,ensemble",2,64.0,1.4
64,FP_unlogged,13.5,drift_filter,drift_filter,1,20.0,41.2
65,FP_genuine,45.5,drift_pump,"drift_24v,drift_pump",2,59.0,0.2
66,TP,43.0,drift_freq,"gearbox,hydraulic,generator,pitch,zero_power,drift_freq,drift_abb,drift_batt",8,7.0,
67,TP,44.5,transformer,"transformer,generator,ensemble",3,30.0,
6,FP_genuine,57.5,drift_filter,"drift_24v,drift_filter",2,69.0,0.9
70,FN,0.0,none,none,0,0.0,
76,TP,52.5,drift_24v,"gearbox,transformer,hydraulic,generator,pitch,rotor_bearing,cabinet_temp,drift_24v,drift_freq,drift_abb",10,43.0,
78,TP,45.0,ensemble,"gearbox,generator,ensemble,drift_freq",4,62.0,
79,TP,29.5,generator,"gearbox,hydraulic,generator,pitch,rotor_bearing",5,6.0,
80,FP_unlogged,37.5,drift_abb,"drift_freq,drift_abb",2,13.0,100.0
81,TP,5.5,drift_24v,drift_24v,1,13.0,
85,FP_unlogged,35.0,ensemble,ensemble,1,72.0,22.9
88,FP_unlogged,54.0,drift_pump,"rotor_bearing,drift_pump,drift_freq,drift_hvrp,drift_abb",5,9.0,100.0
90,TP,18.5,pitch,"hydraulic,generator,pitch,rotor_bearing",4,7.0,
91,TP,53.5,drift_freq,"transformer,generator,pitch,drift_filter,drift_freq,drift_abb",6,11.0,
93,FP_genuine,47.5,ensemble,ensemble,1,32.0,5.6
94,FP_unlogged,18.0,drift_batt,drift_batt,1,7.0,49.3
9,TP,27.5,battery_current,battery_current,1,5.0,
