event_id,type,lead_days,first_ch,channels,n_ch,prob
11,TP,60.0,generator,"rpfd,hpg,generator,gearbox",4,0.489
12,TP,28.5,generator,"generator,gearbox",2,0.668
15,TP,54.0,gearbox,"generator,gearbox",2,0.875
16,TP,25.5,generator,"hpg,generator,gearbox",3,0.751
18,TP,27.5,generator,generator,1,0.697
1,FP,22.0,hpg,hpg,1,0.611
20,FP,37.5,generator,generator,1,0.601
28,FN,0.0,none,none,0,0.0
29,FP,59.5,gearbox,gearbox,1,0.522
30,TP,14.5,gearbox,"hpg,generator,gearbox",3,0.876
31,FN,0.0,none,none,0,0.0
32,FP,4.5,generator,generator,1,0.616
33,TP,9.5,generator,generator,1,0.944
35,TP,6.0,hpg,hpg,1,0.564
36,FP,59.5,gearbox,gearbox,1,0.913
39,TP,37.5,hpg,"hpg,generator",2,0.522
43,FP,59.5,hpg,hpg,1,0.765
44,TP,5.5,gearbox,gearbox,1,0.673
47,FN,0.0,none,none,0,0.0
48,FP,56.5,gearbox,gearbox,1,0.545
49,TP,2.0,gearbox,gearbox,1,0.761
4,TP,5.0,kci,kci,1,0.553
55,TP,41.5,generator,"generator,gearbox",2,0.655
59,FP,41.0,generator,generator,1,0.822
5,TP,11.5,generator,generator,1,0.945
66,TP,29.5,gearbox,"generator,gearbox",2,0.86
67,TP,18.0,gearbox,"generator,gearbox",2,0.545
6,FP,39.0,generator,generator,1,0.618
70,TP,59.5,gearbox,gearbox,1,0.503
76,TP,25.0,generator,"hpg,generator,gearbox",3,0.895
78,TP,41.5,gearbox,"hpg,generator,gearbox",3,0.532
79,TP,30.0,generator,"generator,gearbox",2,0.78
80,FP,17.0,gearbox,gearbox,1,0.816
81,TP,16.0,generator,generator,1,0.519
88,FP,53.0,gearbox,gearbox,1,0.939
90,TP,26.5,generator,generator,1,0.609
91,TP,28.0,generator,generator,1,0.557
9,FN,0.0,none,none,0,0.0
