event_id,status,asset_id,event_label,event_description,event_start,event_end,n_rows,n_cols,n_train,n_prediction,n_healthy_train,ts_min,ts_max,ts_span_days,n_missing_cells,n_zero_cells,pct_missing,pct_zero,status_0,status_3,status_5,status_4
55,OK,50,anomaly,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,2023-10-29 11:30:00,2023-11-15 15:30:00,55753,957,52560,3193,48856,2022-10-27 11:30:00,2023-11-18 15:30:00,387,0,7511647,0.0,14.15,51942,3204,501,106
81,OK,38,anomaly,"Converter Failure from 17.11 12:30 - 18.11. 13:57, Fuse Filter Supply ",2023-11-16 01:30:00,2023-11-18 14:00:00,53932,957,52560,1372,44510,2022-11-15 01:30:00,2023-11-24 14:00:00,374,0,7676726,0.0,14.95,45698,6523,1258,453
47,OK,21,anomaly,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Analysis indicates a longer anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2024 which is neither confirmed nor refuted.",2023-12-22 15:00:00,2023-12-27 13:40:00,53993,957,52416,1577,47881,2022-12-22 15:00:00,2024-01-02 13:40:00,375,0,7721477,0.0,15.02,49400,3828,590,175
12,OK,2,anomaly,"10115 : Oil level error, two-pump mode + Oil Leakage Gear Oil Supply + 12019: Rotor brake B cannot be closed + P20_yaw carbon brush damaged",2023-06-27 00:00:00,2023-07-19 15:00:00,56107,957,52560,3547,49585,2022-06-27 00:00:00,2023-07-21 15:00:00,389,0,7269529,0.0,13.61,52818,2545,476,268
4,OK,34,anomaly,23020 : Axis 3 not ready-to-operate,2023-07-31 10:00:00,2023-08-19 10:00:00,56449,957,52560,3889,46229,2022-07-28 10:00:00,2023-08-24 10:00:00,392,0,7930782,0.0,14.76,49760,6076,400,213
18,OK,34,anomaly,We had some failures (störung 24VAC Versorgung Rotorbremse) on the 16th in the afternoon. From 17th onwards a longer standstill where we don't know the root cause to. ,2023-09-13 00:00:00,2023-09-16 23:50:00,52848,957,51120,1728,47202,2022-09-11 00:00:00,2023-09-22 23:50:00,376,0,7581830,0.0,15.07,48111,4036,472,229
28,OK,52,anomaly,P20_spinner_carbonbrush defekt + P20_Accumulators_hydraulic system,2023-05-28 13:00:00,2023-06-17 20:30:00,55918,957,52560,3358,45121,2022-05-27 13:00:00,2023-06-19 20:30:00,388,0,8102606,0.0,15.22,47804,7159,471,484
39,OK,52,anomaly,15004 : Safety chain relay open + 93005 : Gear oil cooler bypass valve,2023-10-19 13:00:00,2023-10-24 15:20:00,53727,957,52560,1167,43432,2022-10-17 13:00:00,2023-10-25 15:20:00,373,0,7714726,0.0,15.08,44090,5941,3416,280
66,OK,12,anomaly,"Pitchfailure - defect Beckhoffcard, Axis 2, rectified on 23/01 - Anomalie liegt aber länger an als der Fehler, Batterien waren ok",2023-01-17 00:00:00,2023-01-23 13:00:00,53503,957,51696,1807,46566,2022-01-17 00:00:00,2023-01-29 13:00:00,377,0,8368891,0.0,16.43,47570,5092,697,144
15,OK,12,anomaly,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),2023-02-06 00:00:00,2023-02-23 00:00:00,54433,957,51696,2737,45598,2022-02-04 00:00:00,2023-02-23 00:00:00,384,0,8507182,0.0,16.42,48307,4328,1642,156
78,OK,15,anomaly,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,2023-07-30 13:00:00,2023-08-01 14:30:00,53146,957,52560,586,46045,2022-07-30 13:00:00,2023-08-03 14:30:00,369,0,7414750,0.0,14.66,46536,5773,713,124
79,OK,16,anomaly,Communication fault BK1120 in NC300,2023-07-26 09:00:00,2023-07-28 09:00:00,53281,957,52560,721,49566,2022-07-25 09:00:00,2023-07-30 09:00:00,370,0,6683213,0.0,13.18,50160,2524,392,205
30,OK,16,anomaly,Pitch failure - defect fan on pitch motor,2023-12-15 00:00:00,2024-01-06 15:40:00,56111,957,52560,3551,49561,2022-12-15 00:00:00,2024-01-08 15:40:00,389,0,8167116,0.0,15.29,50278,4899,641,293
33,OK,43,anomaly,P20_Blade3_Grease Collector missing,2023-08-26 13:00:00,2023-09-15 13:00:00,55873,957,52560,3313,47492,2022-08-24 13:00:00,2023-09-16 13:00:00,388,0,7814122,0.0,14.69,49613,4727,619,914
11,OK,43,anomaly,P20_DGUV-v3 RCD 28F1 NC310 defective + 0 : P20_Blades_Cabinet Caps missing,2023-10-17 12:30:00,2023-11-08 10:30:00,56437,957,52416,4021,43921,2022-10-17 12:30:00,2023-11-14 10:30:00,392,0,8584033,0.0,15.98,46022,5504,3957,954
44,OK,44,anomaly,Valve in water cooling system was left in wrong position after maintenance actions on 05-08-2020,2023-08-03 14:00:00,2023-10-08 02:20:00,63003,957,52560,10443,48952,2022-08-02 14:00:00,2023-10-14 02:20:00,437,0,8374455,0.0,13.96,58410,3719,687,187
49,OK,33,anomaly,Failure 2023-04-05 03:30 - defective coupling between gear oil pump and motor,2023-04-01 00:00:00,2023-04-05 03:30:00,53014,957,51408,1606,46522,2022-03-29 00:00:00,2023-04-09 03:30:00,376,0,8347118,0.0,16.54,47624,2673,2588,129
31,OK,35,anomaly,Communication and Pitchfailure - slip ring and Beckhoff card,2023-01-18 00:00:00,2023-01-25 02:00:00,54589,957,52560,2029,48368,2022-01-16 00:00:00,2023-01-30 02:00:00,379,0,7620956,0.0,14.66,49591,3987,719,292
67,OK,35,anomaly,Turbine has some issues with overpressure on the main transformer,2023-02-02 00:00:00,2023-04-01 00:00:00,61489,957,52560,8929,47362,2022-02-01 00:00:00,2023-04-04 00:00:00,427,0,8526919,0.0,14.57,55971,3424,1793,301
9,OK,55,anomaly,PENDING19_PREV_YAW_Grease pump defective,2023-08-05 07:30:00,2023-08-26 09:30:00,56029,957,52560,3469,48003,2022-08-02 07:30:00,2023-08-26 09:30:00,389,0,7356698,0.0,13.79,51238,4083,497,211
91,OK,42,anomaly,23020 : Axis 3 not ready-to-operate,2023-10-12 09:30:00,2023-11-01 12:00:00,56608,957,52560,4048,47057,2022-10-11 09:30:00,2023-11-08 12:00:00,393,0,7327342,0.0,13.6,50603,5181,549,275
5,OK,32,anomaly,WEC in failure - current measurement own consumption,2023-02-02 00:00:00,2023-02-05 15:00:00,52795,957,52128,667,47325,2022-02-01 00:00:00,2023-02-05 15:00:00,369,0,7385262,0.0,14.69,47640,4252,520,383
90,OK,56,anomaly,COMMUNICATION FAULT BK1120 IN NC300 A2,2023-08-10 15:00:00,2023-08-22 17:30:00,54880,957,52560,2320,48047,2022-08-08 15:00:00,2023-08-24 17:30:00,381,0,7395392,0.0,14.16,49981,4015,572,312
70,OK,23,anomaly,"21002 : Axis 1 DC-link voltage low, batt",2023-11-10 14:00:00,2023-11-30 17:30:00,56038,957,52560,3478,47815,2022-11-10 14:00:00,2023-12-04 17:30:00,389,0,7047993,0.0,13.21,51017,4397,493,131
