sensor_name,statistics_type,description,unit,is_angle,is_counter,physical_group
sensor_0,"maximum,minimum,std_dev,average","ABB-LS Input K1, IL1",A,False,False,other
sensor_1,"maximum,minimum,std_dev,average",Generator acceleration,rpm/s,False,False,generator_thermal
power_2,"average,maximum,std_dev,minimum",ABB-LS Active Power,kW,False,False,power_active
sensor_3,"average,maximum,minimum,std_dev",Active power aeration motor A,%,False,False,power_active
sensor_4,"average,maximum,minimum,std_dev",Active power aeration motor B,%,False,False,power_active
power_5,"average,maximum,minimum,std_dev",Active power grid side converter,kW,False,False,power_active
power_6,"average,maximum,minimum,std_dev",Active power HV grid,kW,False,False,power_active
sensor_7,"average,maximum,minimum,std_dev",Ambient temperature,Celsius,False,False,ambient_environment
sensor_8,"average,maximum,minimum,std_dev",Generator angle speed,rad/s,False,False,generator_thermal
sensor_9,"average,maximum,minimum,std_dev",Battery charge 1,A,False,False,battery_voltage
sensor_10,"average,maximum,minimum,std_dev",Battery charge 2,A,False,False,battery_voltage
sensor_11,"average,maximum,minimum,std_dev",Battery charge 3,A,False,False,battery_voltage
sensor_12,"average,maximum,minimum,std_dev",Battery discharge current axis 1,A,False,False,battery_voltage
sensor_13,"average,maximum,minimum,std_dev",Battery discharge current axis 2,A,False,False,battery_voltage
sensor_14,"average,minimum,std_dev,maximum",Battery discharge current axis 3,A,False,False,battery_voltage
sensor_15,"average,maximum,minimum,std_dev",Board temperature,Celsius,False,False,cabinet_thermal
sensor_16,"average,maximum,minimum,std_dev",Compensation angle I/U converter,deg,True,False,converter
power_17,"average,minimum,std_dev,maximum",Active power converter,kW,False,False,power_active
sensor_18,"average,maximum,minimum,std_dev",Generator cooling air temperature A,Celsius,False,False,generator_thermal
sensor_19,"average,maximum,minimum,std_dev",Generator cooling air temperature B,Celsius,False,False,generator_thermal
sensor_20,"average,maximum,minimum,std_dev",Generator cooling air temperature C,Celsius,False,False,generator_thermal
sensor_21,"average,maximum,std_dev,minimum",Generator cooling air temperature D,Celsius,False,False,generator_thermal
sensor_22,"average,maximum,minimum,std_dev",Current hydraulic tank heating,A,False,False,hydraulic
sensor_23,"average,maximum,minimum,std_dev",Current water cooler pump 1,A,False,False,cooling_water
sensor_24,"average,maximum,minimum,std_dev",Current water cooler pump 2,A,False,False,cooling_water
sensor_25,"average,maximum,minimum,std_dev",Current drain 24V nacelle,A,False,False,ambient_environment
sensor_26,"std_dev,minimum,average,maximum",Current drain pitch L1,A,False,False,pitch_axis
sensor_27,"average,std_dev,maximum,minimum",Current yaw motor A,A,False,False,yaw
sensor_28,"average,maximum,minimum,std_dev",Current yaw motor B,A,False,False,yaw
sensor_29,"average,maximum,minimum,std_dev",Current yaw motor C,A,False,False,yaw
sensor_30,"average,maximum,std_dev,minimum",Current yaw motor D,A,False,False,yaw
sensor_31,"average,maximum,minimum,std_dev",Current yaw motor E,A,False,False,yaw
sensor_32,"average,maximum,minimum,std_dev",Current yaw motor F,A,False,False,yaw
sensor_33,"average,maximum,minimum,std_dev",Current yaw motor G,A,False,False,yaw
sensor_34,"average,minimum,std_dev,maximum",Current yaw motor H,A,False,False,yaw
sensor_35,"maximum,std_dev,average,minimum",DC link voltage converter,V,False,False,converter
sensor_36,"average,minimum,std_dev,maximum",Direct current link volt axis 1,V,False,False,other
sensor_37,"average,minimum,std_dev,maximum",Direct current link volt axis 2,V,False,False,other
sensor_38,"average,maximum,minimum,std_dev",Direct current link volt axis 3,V,False,False,other
sensor_39,"average,maximum,minimum,std_dev",Electrical cabinet ambient temperature,Celsius,False,False,ambient_environment
sensor_40,"average,maximum,minimum,std_dev",Nacelle external air pressure,hPa,False,False,ambient_environment
sensor_41,"average,maximum,minimum,std_dev",Nacelle outside temperature,Celsius,False,False,ambient_environment
sensor_42,"average,maximum,minimum,std_dev",Rotor bearing flow rate,L/min,False,False,rotor_bearing
sensor_43,"average,maximum,minimum,std_dev",Flow meter stator cooler,l/h,False,False,other
sensor_44,"average,maximum,minimum,std_dev",Fluid level oil container A1,%,False,False,other
sensor_45,"maximum,minimum,std_dev,average",Fluid level oil container A2,%,False,False,other
sensor_46,"average,maximum,minimum,std_dev",Water temperature flow TT1,Celsius,False,False,cooling_water
sensor_47,"average,maximum,minimum,std_dev",Mains frequency OS-side,Hz,False,False,other
sensor_48,"average,maximum,minimum,std_dev",Hydraulic pressure Aggregate System pressure,bar,False,False,hydraulic
sensor_49,"average,minimum,maximum,std_dev",Hydraulic pressure azimuth circuit A,bar,False,False,hydraulic
sensor_50,"average,minimum,std_dev,maximum",Hydraulic pressure azimuth circuit B,bar,False,False,hydraulic
